的	8302698
一	3728398
不	3083707
是	3017244
了	2588626
人	2508086
在	2265802
有	2249248
我	1939038
他	1835410
这	1735712
为	1484873
之	1459824
来	1441611
大	1414057
以	1410167
个	1390372
中	1383908
上	1371195
们	1233633
到	1122933
说	1109652
国	1104141
和	1088033
地	1068947
也	1046455
子	1035711
时	1024324
道	975124
出	953481
而	929477
要	923479
于	899185
就	896623
下	890602
得	889089
可	882946
你	873080
年	856439
生	825031
自	805928
会	799450
那	787003
后	768948
能	757975
对	753470
着	746931
事	727218
其	705736
里	703578
所	702060
去	693796
行	693612
过	688510
家	684994
十	642830
用	631677
发	628955
天	625527
如	624014
然	623602
作	620223
方	588952
成	586444
者	580331
多	578867
日	570839
都	566108
三	563056
小	552432
军	551130
二	549803
无	549739
同	547305
么	540353
经	534113
法	532100
当	531549
起	527805
与	527717
好	523853
看	522612
学	519314
进	519121
种	518324
将	515931
还	515814
分	513236
此	509513
心	509223
前	502905
面	500323
又	499259
定	498753
见	494388
只	492220
主	488294
没	482203
公	481058
从	479545
知	478175
使	474686
部	469765
本	460452
动	460190
现	448443
因	447628
开	445304
些	443507
理	438969
长	435608
明	431242
样	427091
意	426998
已	424214
月	419841
正	418927
想	414092
实	413400
把	413102
但	407619
相	405217
两	401885
民	399162
她	396728
力	395169
文	393026
等	385159
外	381751
第	381706
王	379946
高	375260
问	375219
太	368194
头	365620
情	361407
西	360898
机	354595
它	352358
回	349622
并	348479
间	347175
手	343849
四	342645
关	338479
重	336945
应	335956
工	335844
性	335119
全	334320
门	332554
老	330336
点	328999
身	328932
东	327320
由	325324
何	322946
向	321661
至	321344
物	319368
战	318371
业	317670
被	313299
政	312656
内	311761
五	308020
儿	305035
及	304812
入	303568
先	300824
己	298988
安	298920
或	297232
利	297094
很	295989
最	295871
书	294716
制	294358
美	294066
山	294052
体	292879
什	292046
新	292023
话	288975
名	288423
曰	287471
合	286526
加	285956
世	285612
平	284064
水	283242
常	277715
果	276586
位	275376
信	273447
度	272759
产	272529
立	271915
声	268157
南	265435
代	262935
走	261360
女	261223
言	261011
马	260992
金	260759
处	260074
便	260027
通	259794
命	259572
特	258777
给	258770
数	258367
次	257687
海	257683
今	255280
表	253700
原	252921
斯	252553
义	251400
各	251121
州	250213
化	249950
口	248531
任	247884
真	247861
才	247684
几	246354
教	246018
官	245501
少	244389
司	243171
德	241664
解	241482
神	240679
则	240668
必	240301
兵	239668
气	239284
打	234961
员	231929
再	231643
论	230429
别	230248
听	229502
提	228659
万	225020
死	224342
更	224311
比	223847
受	223405
百	222693
做	222207
尔	221448
即	219756
元	219138
报	218668
直	217947
白	217439
总	217392
非	214873
建	214355
夫	214198
北	213780
未	212384
张	212169
令	212038
反	211868
士	210778
师	210062
许	209335
条	208509
变	208335
系	206564
计	206493
且	206487
认	205316
目	204611
光	203558
管	203142
路	202678
接	202523
城	202054
活	201464
保	200525
结	200169
题	199953
却	198653
指	193925
感	193691
难	192766
量	192572
务	192395
